id,name,club,profileLink
122,Czéh Barnabás - Wei Chen Yao,Danza Táncsport Egyesület,par.php?id=5731
123,Örkényi Bátor Zétény - Marincsák Janka Luca,Valcer TáncSport Egyesület,par.php?id=4829
124,Simon Áron - Korn Vivien,Lorigo Táncsport Egyesület,par.php?id=4779
125,Bálint Péter Imre - Rozmán Vivien,Lorigo Táncsport Egyesület,par.php?id=4781
126,Tarcsay Tamás - Szabó Lili Petra,SZIGO Kulturális Táncsport Egyesület,par.php?id=6036
127,Josef Stehlik - Eva Stehlikova,Czech Republic,par.php?id=4399
128,Jaroslav Zeman - Petra Zemanova,Czech Republic,par.php?id=1450
129,Kránicz József - Dobó Erika,DanceStation TáncSport Egyesület,par.php?id=716
130,Juerg Briner - Katharina Egli,Switzerland,par.php?id=4400
131,Peter Gleiszner - Sabine Zwick,Austria,par.php?id=1454
132,Antonino Restivo - Rossella Stucchi,Italy,par.php?id=1466
133,Michael Pauser - Claudia Molecz,Austria,par.php?id=3106
134,Ivan Benko - Miroslava Benkova,Slovakia,par.php?id=4280
135,Robert Dub - Sylvia Schaefer-Nouza,Austria,par.php?id=1456
136,Gerhard Baier - Ingrid Cloos-Baier,Germany,par.php?id=1457
137,Manfred Kerschner - Monika Kuegler,Austria,par.php?id=3546
138,Giovanni Boccu - Federica Gualina,Italy,par.php?id=4401
139,Albert Rommel - Andrea Rommel,Germany,par.php?id=1445
140,Peter Birndorfer - Christina Pothfelder,Germany,par.php?id=4402
141,Jan Hon - Jaroslava Honova,Czech Republic,par.php?id=3984
142,Andres Joeleht - Anu Joeleht,Estonia,par.php?id=3271
143,Denis Bourgeois - Marie Magdalena Dufkova,France,par.php?id=4403
144,Siegfried Evertz - Yvonne Heyner,Germany,par.php?id=1446
145,Bánfi Antal - Bellágh Mária,Papiron Szeged Versenytáncklub Egyesület,par.php?id=1474
146,Wolfgang Kalny - Ursula Kalny,Austria,par.php?id=4404
147,Baranyai Szilárd - Illés Enikő Katalin,Ritmo Sporttánc Egyesület,par.php?id=733
148,Molnár György - Molnárné Varga Irén,Valcer TáncSport Egyesület - EXCELLENCE Tánc Sportegyesület,par.php?id=688
149,Keijzer Henry - Illés Enikő Katalin,SZIGO Kulturális Táncsport Egyesület,par.php?id=6522
150,Giegler Letti -,Eraklin Táncklub Egyesület,par.php?id=7335
151,Oroszlán Emma Róza -,PresiDance TSE,par.php?id=7136
152,Maródi Éda Melinda -,Valcer TáncSport Egyesület,par.php?id=6655
153,Kis Heléna Viktória -,Lorigo Táncsport Egyesület,par.php?id=7478
154,Mozsolics Maja -,Eraklin Táncklub Egyesület,par.php?id=7366
155,Kertész Adél -,PresiDance TSE,par.php?id=7144
156,Maródi Gréta -,Valcer TáncSport Egyesület,par.php?id=7451
157,Szvoboda Gergő János - Hodi Jessica Abigél,Savaria Táncsport Egyesület,par.php?id=1038
158,Tóth Dominik Balázs - Tóth Eszter,Savaria Táncsport Egyesület,par.php?id=2488
159,Szobol Zsolt - Csüri Fanni Noa,Laguna KTSE,par.php?id=2451
160,Pintér Martin - Tóth Melinda,Adria-Szigó KTSE,par.php?id=801
161,Pozsonyi Márkó István - Molnár Kitti,Adria-Szigó KTSE,par.php?id=1963
162,Szekér Ticián - Kovács Sára,Gála Társastáncklub Egyesület,par.php?id=1042
163,Mészáros Zsombor Máté - Gángó Nina Viktória,Gála Társastáncklub Egyesület,par.php?id=1766
164,Szabó Gergő - Peterka Flóra Anna,Gála Társastáncklub Egyesület,par.php?id=2163
165,Török Tamás - Dömötör Dorka Fruzsina,Gála Társastáncklub Egyesület,par.php?id=2156
166,Petrényi Marcell László - Illés Bettina,Gála Társastáncklub Egyesület,par.php?id=1037
167,Oláh Zsombor - Makovecz Virág,Gála Társastáncklub Egyesület,par.php?id=2168
168,Greff Patrik Tibor - Horváth Boglárka Mária,Botafogo Táncegyüttes,par.php?id=6252
169,Hevesi Péter - Kikillai Anna Boglárka,TAZE Tánc Sportegyesület,par.php?id=5659
170,Kocsis Vince György - Ferincz Lili,Lorigo Táncsport Egyesület,par.php?id=5849
171,Szántó Ádám - Nyári Tifani,Savaria Táncsport Egyesület,par.php?id=5824
172,Takács Dávid - Antal Viktória,Eraklin Táncklub Egyesület,par.php?id=5763
173,Keleti Róbert - Laduver Katinka,Tornádó TSE Kozármisleny,par.php?id=6161
174,Farkas Marcell Zoltán - Kéri Emma,Ametiszt Táncsport Egyesület,par.php?id=5698
175,Borbély Zsombor - Busa Atika Vera,El Paso SE,par.php?id=6154
176,Molnár Dávid - Fehér Zora,Eraklin Táncklub Egyesület,par.php?id=5761
177,Suszter Ferenc Dávid - Molnár Lilla Rozina,Ametiszt Táncsport Egyesület,par.php?id=6166
178,Papp Benjamin - Horváth Zsófia Kincső,Ametiszt Táncsport Egyesület,par.php?id=6273
179,Oláh Regő - Lakatos Viktória Diána,Stúdió 2000 TSE,par.php?id=6299
180,Vargha Levente - Bari Tifani Zsófia,Botafogo Táncegyüttes,par.php?id=6477
181,Metzl Milán - Szabó Lili,Bonton Tánc Sport Egyesület,par.php?id=6084
182,Ádám Balázs Benedek - Németh-Szabados Abigél,Flamenco 2001 TSE - Spirit Tánc Sport Egyesület,par.php?id=6370
183,Szűcs Henrik - Móritz Borbála Anna,PresiDance Táncsport Egyesület,par.php?id=6345
184,Selyem László - Kapi Boglárka,SZOLDANCE Táncsport Egyesület - MARKÓ STÚDIÓ TÁNCSPORT ÉS TÁNCMŰVÉSZETI EGYESÜLET,par.php?id=6512
185,Hrustinszki Ádám - Nagy Lotti,Oktogon Tánc Centrum Egyesület,par.php?id=5715
186,Szőke Marcell Benedek - Szabó Anna Sára,Gála Társastáncklub Egyesület,par.php?id=5181
187,Dósai Zoltán - Harkányi Réka,Sundance Tánc Sport Egyesület,par.php?id=6070
188,Deresi Vajk István - Mór-Baranyai Anna,SZIGO Kulturális Táncsport Egyesület,par.php?id=6180
189,Gombos Dávid - Gombos Kata,Gála Társastáncklub Egyesület,par.php?id=5543
190,Faragó Attila Ádám - Tirk Zsófia Ágnes,Tornádó TSE Kozármisleny,par.php?id=3775
191,Takács Gábor Árpád - Sepsi Alexandra,SZIGO Kulturális Táncsport Egyesület,par.php?id=6136
192,Sziráki Ádám - Pammer Lea,Ritmo Sporttánc Egyesület,par.php?id=6758
193,Kemény Tamás - Princz Nóra,Goldance Táncsport Egyesület - DanceStation Táncsport Egyesület,par.php?id=23
194,Horti Árpád - Fekete Krisztina,Goldance Táncsport Egyesület - Oktogon Tánccentrum,par.php?id=714
195,Orosz László - Király Marianna,Big-BEM Táncsport Egyesület,par.php?id=715
196,Asztalos Zoltán dr. - Kissné Szegedi Zsuzsanna,Szabolcs Diáksport Egyesület,par.php?id=1584
197,Csuka László - Csuka-Bíró Hajnalka,Ritmo Sporttánc Egyesület,par.php?id=4787
198,Kovács Mátyás Attila - Liszt Edit,Everydance Táncsport Egyesület,par.php?id=4158
199,Takács Csaba - Balatonyi Kata,Dimenzió Táncsport Egyesület,par.php?id=5653
200,Szamos Péter Tibor - Szamos Péter Tiborné,Everydance Táncsport Egyesület,par.php?id=2532
201,Szántó Ádám - Bicsák Nóra,Savaria Táncsport Egyesület,par.php?id=6871
202,Dániel Dávid - Dániel Viktória,L-DANCE GROUP Táncsport Egyesület,par.php?id=6481
203,Bangó Milán - Bucsi Fanni,Press Dance TSE,par.php?id=3560
204,Bodorkós Marcell - Tóth Evelin,Gála Társastáncklub Egyesület,par.php?id=3116
205,Iván Barnabás - Vincze Anikó,Lorigo Táncsport Egyesület,par.php?id=1115
206,Tóth Kornél - Ávár Júlia,Lorigo Táncsport Egyesület,par.php?id=2773
207,Horváth Gergely - Hasúr Zsuzsanna Rita,Forma Táncsport Egyesület,par.php?id=3778
208,Vadon Barnabás - Lóránt Szandra,Goldance Táncsport Egyesület,par.php?id=4624
209,Sikó-Barabási Örs Sándor - Schuller Eszter,Papiron Szeged Versenytáncklub Egyesület,par.php?id=5432
210,Nagy Bence - Boros Lilla Csenge,Stúdió 2000 TSE,par.php?id=5673
211,Csató Erik Dániel - Csató Lara,SZOLDANCE Táncsport Egyesület,par.php?id=6157
212,Zahradnik Richárd - László Imola Lilien,Dance Express Tánc Sport Egyesület - Kézér Tánclabor Sportegyesület,par.php?id=5808
213,Salétros Csongor - Véh Helga,Stúdió 2000 TSE,par.php?id=5778
214,Kis Máté - Tantó Hanna,L-DANCE GROUP Táncsport Egyesület,par.php?id=6043
215,Kiss Nikolasz Dávid - Tarján Mira,Szilver Táncsport Egyesület,par.php?id=6537
216,Papp Benjamin - Kéri Emma,Ametiszt Táncsport Egyesület,par.php?id=6471
217,Dul Dominik András - Schilling Kamilla,SZIGO Kulturális Táncsport Egyesület,par.php?id=6171
218,Csorba Áron - Varga Cintia Viktória,L-DANCE GROUP Táncsport Egyesület,par.php?id=6482
219,Grumming Benedek - Jákim Korinna Mia,Felicita KTSE,par.php?id=6583
220,Csáki Ábris Benedek - Nagy Petra,Unique TáncSport Egyesület,par.php?id=6335
221,Váncza Bence - Csumán Csenge,Quality Dance TSE,par.php?id=3612
222,Kalapács Bence - Szántó Regina,Szilver Táncsport Egyesület,par.php?id=3376
223,Horváth Márk - Katona Rozina,SZIGO Kulturális Táncsport Egyesület,par.php?id=2953
224,Prohászka Tamás - Gendur Kíra Anna,Stúdió 2000 TSE,par.php?id=3779
225,Oberna Károly Gábor - Váczi Bettina,Szilver Táncsport Egyesület,par.php?id=2227
226,Soltész-Bácskai Levente - Németh Lora,PresiDance Táncsport Egyesület,par.php?id=5623
227,Balatonyi Krisztián - Szabó Laura,SZIGO Kulturális Táncsport Egyesület,par.php?id=6842
228,Beregszászi Zoltán - Matuska Viola Villő,L-DANCE GROUP Táncsport Egyesület,par.php?id=5581
229,Tóth Kornél - Kubatov Viktória,Sundance Tánc Sport Egyesület,par.php?id=6554
230,Nagy Bence - Czencz Nóra,Spirit Tánc Sport Egyesület,par.php?id=6549
231,Sovány Zsombor - Pintér Dóra Rebeka,SZIGO Kulturális Táncsport Egyesület,par.php?id=6772
232,Sipos Zsombor - Kulcsár Henriett,Tornádó TSE Kozármisleny,par.php?id=4793
233,Bokor Kevin - Frey Tímea,Kner Táncsport Egyesület,par.php?id=1540
234,Kiss Zoltán - Pinka Ramóna Franciska,Szilver Táncsport Egyesület,par.php?id=432
235,Szegfű Kornél Norbert - Susánszki Éva,Kner Táncsport Egyesület - Nyíri Lajos Táncsport Egyesület,par.php?id=2438
236,Tóth Alex - Gera Tímea,Pro-Art Táncstúdió,par.php?id=945
237,Kozák László Richárd - Szívós Dalma,Pro-Art Táncstúdió,par.php?id=1769
238,Ercsi Dániel - Németh Bella,Stúdió 2000 TSE - Pro-Art Táncstúdió,par.php?id=2183
239,Hajdú Viktor - Tóth Gréta,Kner Táncsport Egyesület,par.php?id=1786
240,Rózsai Barbara -,Lorigo Táncsport Egyesület,par.php?id=6388
241,Gáspár Hédi -,JoyDance Táncsport Egyesület,par.php?id=7288
242,Gál Krisztián - Pindur Cintia Réka,Wings-Wings KTSE - Pro-Art Táncstúdió,par.php?id=1147
243,Pék Máté - Nagy Edit Lilla,Goldance Táncsport Egyesület,par.php?id=730
244,Kátai Lóránt Krisztián - Bandi Johanna,Valcer Táncstúdió - Szabolcs Diáksport Egyesület,par.php?id=1482
245,Dunai Bence - Marschall Zita Olívia,Fulldance Táncsport Egyesület,par.php?id=696
246,Veréb Dániel - Kovács Tímea,Sway Táncsport Egyesület - IKON Táncsport Egyesület,par.php?id=254
247,Mózer Adrián - Sebesi Daniella,Laguna KTSE - Fulldance Táncsport Egyesület,par.php?id=60
248,Bacsik Bence - Hári Nikolett,Sway Táncsport Egyesület,par.php?id=50
249,Tollár Gergő - Deményi Boglárka,Ködmön Társastánc SE,par.php?id=146
250,Somoskői László - Pós Polett,Miskolcz-Revital TSE,par.php?id=1148
251,Härtlein Ákos - Farkas Gréta Éva,Forma Táncsport Egyesület,par.php?id=5496
252,Patkós Máté - Unger Fanni,Spirit Tánc Sport Egyesület,par.php?id=7111
253,Gali Gergő - Kondacs Jázmin Bíborka,Szilver Táncsport Egyesület,par.php?id=6097
254,Antal Krisztián - Prozlik Melinda Lenke,Szilver Táncsport Egyesület,par.php?id=2793
255,Petrás Bene - Terdik Tímea,Szilver Táncsport Egyesület - Valcer TáncSport Egyesület,par.php?id=6450
256,Balikó Gergely - Geiger Zsanett,Botafogo Táncegyüttes - Spirit Tánc Sport Egyesület,par.php?id=6095
257,Tumó Roland - Jeges Jázmin Mirjam,Ametiszt Táncsport Egyesület,par.php?id=6455
258,Kállai Ádám István - Drevenka Annamária,SZOLDANCE Táncsport Egyesület - Botafogo Táncegyüttes,par.php?id=6476
259,Závecz Roland Zoltán - Tóth Júlia,PresiDance Táncsport Egyesület,par.php?id=7104
260,Orémusz Dániel - Nagy Gertrúd Hanna,Valcer TáncSport Egyesület,par.php?id=7042
261,Hajdú Viktor - Gál Viktória,Szilver Táncsport Egyesület,par.php?id=6760
262,Kovács-Kalic Károly Péter - Kertész Laura,Spirit Tánc Sport Egyesület - Forma Táncsport Egyesület,par.php?id=7065
263,Szőke Gábor Sándor - Keresztes Petra,PRO-ART ELIT Egyesület,par.php?id=6203
264,Szilvási Patrik - Cseh Zamira Vivien,Laguna KTSE,par.php?id=5682
265,Marton Zoltán István - Gera Dorottya,Spirit Tánc Sport Egyesület,par.php?id=6377
266,Tóth Marcell - Patai Maja,Stúdió 2000 TSE,par.php?id=6414
267,Almási Bence - Almási Réka,Stúdió 2000 TSE,par.php?id=2744
268,Takács Tamás István - Kovács Dóra,Tornádó TSE Kozármisleny,par.php?id=4792
269,Preszter Márk - Mészáros Liza,C&M Dance Studio Tánc Sport Egyesület,par.php?id=6073
270,Tolnai Zétény Benedek - Horváth Kíra,SZIGO Kulturális Táncsport Egyesület,par.php?id=6582
271,Sipter Márk - Tóth-Zádeczki Laura,Miskolcz-Revital Táncsport Egyesület,par.php?id=6499
272,Márta Gábor Márk - Halgas Nóra,Goldance Táncsport Egyesület,par.php?id=5675
273,Nagy Attila - Margita Flóra,Unique TáncSport Egyesület,par.php?id=6337
274,Debreczeni Csongor - Debreczeni Karola,Papiron Szeged Versenytáncklub Egyesület,par.php?id=3587
275,Besenyi Norbert - Besenyi Adél,Szilver Táncsport Egyesület,par.php?id=2965
276,Bencsik Bence - Lipcsei Laura,Szilver Táncsport Egyesület,par.php?id=3357
277,Komáromi Miklós Erik - Lárencz Júlia,Forma Táncsport Egyesület,par.php?id=3392
278,Palásthy Csaba - Tóth Tamiza,Ritmo Sporttánc Egyesület,par.php?id=2771
279,Sonkoly Ákos Gábor - Baráth Luca,Szilver Táncsport Egyesület,par.php?id=3377
280,Perovics Péter - Kalló Enikő,Bajai Táncsport Egyesület,par.php?id=3600
281,Józsa Márk - Kozma Zorka,Ritmo Sporttánc Egyesület - Adria-Szigó KTSE,par.php?id=2170
282,Sziklai Gábor - Stercz Míra Krisztina,Adria-Szigó KTSE,par.php?id=1475
283,Lorigo TSE B csapat -,Lorigo Táncsport Egyesület,par.php?id=2915
284,SAVARIA TSE - HAWAII -,Savaria Táncsport Egyesület,par.php?id=3846
285,Fehér Gréta -,PresiDance TSE,par.php?id=6237
286,Varga Cintia Viktória -,L-DANCE GROUP Táncsport Egyesület,par.php?id=6303
287,Fehér Kíra -,Eraklin Táncklub Egyesület,par.php?id=6311
288,Kleska Kinga Regina -,Dance Square Sportegyesület,par.php?id=6301
289,Szabó Milán - Szakál Evelin Noémi,Valcer Táncstúdió,par.php?id=150
290,Vígh Roland - Fügedi Laura,Miskolcz-Revital TSE,par.php?id=136
291,Holló Patrik - Perendi Dorottya,"Brilli-Art Studio Közhasznú Táncsport Egyesület - Freetime Kulturális, Szabadidő és Táncsport Egyesület",par.php?id=3361
292,Dézsi Csaba István - Szendrei Csilla,DanceStation Táncsport Egyesület,par.php?id=2522
293,Botos Zsolt Armand - Horváth Petra Jázmin,Botafogo Táncegyüttes,par.php?id=3333
294,Salabert Márton - Denke Réka,Goldance Táncsport Egyesület - Fulldance Táncsport Egyesület,par.php?id=2865
295,Gál Krisztián Zsolt - Loch Jázmin,SZOLDANCE Táncsport Egyesület - Quality Dance TSE,par.php?id=4355
